index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
103,MARİN İNŞAATTAN SAADETDEREDE3+1 GENİŞ GİYİNME ODALI DAİRE FIRSATI,Esenyurt, Saadetdere Mahallesi,Konut,3+1,2,5,1. Kat,130,2,1,0,KombiDoğalgaz,255000
104,BAŞKENT YAPI'DAN KREDİ YOK KEFİL YOK ELDEN 60 AY TAKSİT İMKANI,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,0,21,9. Kat,115,2,1,0,KombiDoğalgaz,259000
105, İNŞAAT FİRMASINDAN SATILIK MERKEZDE SIFIR ASANSÖRLÜ 2+1 DAİRE,Esenyurt, İncirtepe Mahallesi,Konut,2+1,0,4,2. Kat,100,1,2,0,KombiDoğalgaz,335000
106,NOFT YAPI'DAN SATILIK KOMBİLİ ŞIK TASARIMLI BAHÇE KATI DAİRE,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,0,6,Bahçe Katı,95,1,1,0,KombiDoğalgaz,219000
107, AVCILAR MUSTAFA KEMAL PAŞA MAH 3+1 KULLANIŞLI YÜKSEK GİRİŞ DAİRE,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,3+1,11-20,4,Giriş,130,1,1,0,KombiDoğalgaz,430000
108, EMLAKVAR OSMANGAZİ'DE 4+1 ÇATI DUBLEKSİ KATTA TEK İSKANLI,Sancaktepe, Osmangazi Mahallesi,Konut,4+1,5-10,4,Çatı Dubleks,170,2,1,0,KombiDoğalgaz,500000
109, BEYLİKDÜZÜ KAVAKLI MAHALLESİNDE V.İ.P SATILIK DUBLEKS DAİRE,Beylikdüzü, Kavaklı Mahallesi,Konut,5+1,0,5,2. Kat,265,2,2,0,KombiDoğalgaz,1700000
110, YENİBOSNADA ÇAKMAK DURAĞINDA SATILIK 100 m2 2+1 KREDİLİ DAİRE,Bahçelievler, Zafer Mahallesi,Konut,2+1,20,4,4. Kat,100,1,1,0,KombiDoğalgaz,325000
111,Eser Yapıdan Satılık2+1 80m2 Merkezi Konumda Yüksek Camlı B Katı,Başakşehir, Güvercintepe Mahallesi,Konut,2+1,2,4,Bahçe Katı,85,1,1,0,KombiDoğalgaz,280000
112,İSTİKLAL MERKEZDE 4+1 KAT DUBLEKSİ,Ümraniye, İstiklal Mahallesi,Konut,4+1,5-10,5,Çatı Dubleks,155,2,3,0,KombiDoğalgaz,830000
113,GÜZELYALIDA YÜKSEK GİRİŞ SATILIK DAİRE,Pendik, Güzelyalı Mahallesi,Konut,2+1,11-20,5,Giriş,90,1,1,0,KombiDoğalgaz,280000
114, GÖZTEPE MİNİBÜS CADDEDİNE PARALEL CADDE ÜZERİNDE O  DAİRE,Kadıköy, Merdivenköy Mahallesi,Konut,2+1,0,9,7. Kat,95,2,1,0,MerkeziDoğalgaz,1075000
115, CAN İNŞAAT'TAN ESENYURT İSTİKLAL MAH 3+1 DAİRELER ,Esenyurt, İstiklal Mahallesi,Konut,3+1,5-10,5,-2,135,1,1,0,KombiDoğalgaz,385000
116,BEYLİKDÜZÜ YAŞAM VADİSİNE YAKIN ÇİFT BALKONLU AÇIK CEPHELİ 3+1,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,4,4,2. Kat,150,2,1,0,KombiDoğalgaz,797500
